step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.3120865821838379,0.3120735287666321,0.0025500929914414883,6.023093737894669e-05,0.4999999701976776,0.019999997690320015,0.005
250,0.25086477398872375,0.24953536689281464,0.0004072258889209479,0.0009221762884408236,0.5261871814727783,0.024999968707561493,1.0
500,0.24298261106014252,0.24211251735687256,0.0004699082928709686,0.00040018322761170566,0.5105066299438477,0.024423841387033463,1.0
750,0.24300850927829742,0.24191606044769287,0.0008281674236059189,0.0002642843755893409,0.4684813618659973,0.021640870720148087,1.0
1000,0.23770560324192047,0.2369101345539093,0.000536180566996336,0.00025929842377081513,0.4353814721107483,0.019264716655015945,1.0
1250,0.24107526242733002,0.23994354903697968,0.0007409770041704178,0.0003907310892827809,0.4092628061771393,0.017050854861736298,1.0
1500,0.2164582908153534,0.20504580438137054,0.008587948977947235,0.0028245500288903713,0.3435070216655731,0.015603862702846527,1.0
1750,0.08024629950523376,0.07071693241596222,0.006896208506077528,0.0026331651024520397,0.3001468777656555,0.01492219977080822,1.0
2000,0.010213674046099186,0.00973311997950077,0.0001868910767370835,0.00029366282979026437,0.29300034046173096,0.015328886918723583,1.0
2250,0.004593004006892443,0.00424475222826004,0.0002901612897403538,5.809042340843007e-05,0.30880749225616455,0.015810124576091766,1.0
2500,0.002818708075210452,0.0025584117975085974,0.0002367326378589496,2.3563574359286577e-05,0.3215663731098175,0.016083024442195892,1.0
2750,0.0023436250630766153,0.0019107817206531763,0.0004121692618355155,2.0674284314736724e-05,0.3337159752845764,0.016276774927973747,1.0
3000,0.001651101978495717,0.0014595523243770003,0.00018105859635397792,1.0491125976841431e-05,0.3450630307197571,0.01642090640962124,1.0
