step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.7100613713264465,0.5230085253715515,36.282493591308594,1.1280816793441772,0.4999999701976776,0.019999997690320015,0.005
250,0.0008773475419729948,0.0005504844593815506,0.0003026302147191018,2.4232918804045767e-05,0.4887511134147644,0.01883516274392605,1.0
500,0.0016103019006550312,0.00024067108461167663,0.001324012759141624,4.5618009608006105e-05,0.49329695105552673,0.018695224076509476,1.0
750,0.0008847960853017867,0.00015294755576178432,0.0006829978083260357,4.885073212790303e-05,0.4975629448890686,0.01856428198516369,1.0
1000,0.0009095259010791779,0.00013226160081103444,0.00074392044916749,3.334382927278057e-05,0.501945972442627,0.018423952162265778,1.0
1250,0.008340558037161827,0.003217319492250681,0.004172648303210735,0.0009505898342467844,0.5134685039520264,0.015133265405893326,1.0
1500,0.00016687202150933444,0.00015299246297217906,1.1929852917091921e-05,1.949704255821416e-06,0.525384783744812,0.01498038787394762,1.0
1750,0.00011567556794034317,8.756425813771784e-05,2.5847770302789286e-05,2.263540864078095e-06,0.5308969616889954,0.014968580566346645,1.0
2000,0.00011723369971150532,6.270874291658401e-05,5.0753722462104633e-05,3.771238880290184e-06,0.5350658893585205,0.014941535890102386,1.0
2250,0.00024348942679353058,5.3818741434952244e-05,0.0001810907560866326,8.579926543461625e-06,0.538671612739563,0.014902345836162567,1.0
2500,0.0005547047476284206,5.386059274314903e-05,0.0004516160406637937,4.922816151520237e-05,0.5417447090148926,0.014847093261778355,1.0
2750,0.0011634246911853552,7.296694093383849e-05,0.0009895076509565115,0.0001009500992950052,0.5445008277893066,0.014770501293241978,1.0
3000,0.0003381012938916683,5.0853705033659935e-05,0.00025179970543831587,3.54478761437349e-05,0.5471419095993042,0.014680210500955582,1.0
