step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.30942821502685547,0.30942806601524353,2.9009350328124128e-05,1.5035809610708384e-06,0.4999999701976776,0.019999997690320015,0.005
250,0.07190513610839844,0.06009628623723984,0.010455358773469925,0.0013534908648580313,0.3805523216724396,0.01512116752564907,1.0
500,0.019358431920409203,0.01384336594492197,0.004186880774796009,0.0013281854335218668,0.4111926257610321,0.013451678678393364,1.0
750,0.012978642247617245,0.008127110078930855,0.003258555196225643,0.0015929770888760686,0.4839732348918915,0.013113570399582386,1.0
1000,0.00869857519865036,0.004760575480759144,0.0025733669754117727,0.0013646322768181562,0.5660064816474915,0.01277252472937107,1.0
1250,0.0066538527607917786,0.003593388944864273,0.002019045175984502,0.0010414188727736473,0.6516104340553284,0.012471352703869343,1.0
1500,0.004431399051100016,0.001998992869630456,0.0017097883392125368,0.0007226180168800056,0.7326777577400208,0.012171952053904533,1.0
1750,0.004447930492460728,0.0021937903948128223,0.0015581164043396711,0.0006960239261388779,0.8024922609329224,0.011840867809951305,1.0
2000,0.0023859036155045033,0.0009670854778960347,0.0011021128157153726,0.0003167053801007569,0.8590213060379028,0.01143923681229353,1.0
2250,0.0019784492906183004,0.0008074407815001905,0.0007848617387935519,0.0003861469158437103,0.9008630514144897,0.010997992008924484,1.0
2500,0.0020330180414021015,0.0007773933466523886,0.0009736314532347023,0.0002819932997226715,0.9300614595413208,0.010546400211751461,1.0
2750,0.001110662124119699,0.00036050553899258375,0.0005947822937741876,0.00015537429135292768,0.9507379531860352,0.010136554948985577,1.0
3000,0.000853881414514035,0.00024574174312874675,0.0004466795071493834,0.00016146017878782004,0.9638625383377075,0.009752129204571247,1.0
3250,0.0010837698355317116,0.00037077529123052955,0.0005512278876267374,0.00016176665667444468,0.9726787805557251,0.009417596273124218,1.0
3500,0.0013735167449340224,0.0006534165004268289,0.0006029175710864365,0.00011718262976501137,0.9787821769714355,0.009114029817283154,1.0
3750,0.0015542081091552973,0.0005796360783278942,0.0008198946015909314,0.00015467744378838688,0.9832117557525635,0.008862189017236233,1.0
4000,0.0011668306542560458,0.0005047251470386982,0.0005865978309884667,7.550769078079611e-05,0.9854555130004883,0.0086399856954813,1.0
