step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.31699544191360474,0.31699496507644653,9.730816236697137e-05,9.983555173675995e-07,0.4999999701976776,0.019999997690320015,0.005
250,0.08755715936422348,0.07310850918292999,0.013783901929855347,0.0006647499976679683,0.38878148794174194,0.014780978672206402,1.0
500,0.03509671241044998,0.027200523763895035,0.007326856721192598,0.000569332973100245,0.35047540068626404,0.012461753562092781,1.0
750,0.018997248262166977,0.013251760974526405,0.004082472063601017,0.0016630146419629455,0.4111314117908478,0.010775553993880749,1.0
1000,0.012103874236345291,0.007844362407922745,0.002379548968747258,0.0018799632089212537,0.4850824475288391,0.010507652536034584,1.0
1250,0.008828336372971535,0.005246796179562807,0.001971159130334854,0.0016103810630738735,0.5664530992507935,0.010295592248439789,1.0
1500,0.006796582136303186,0.0036721788346767426,0.0019107511034235358,0.001213652198202908,0.6479741930961609,0.009982139803469181,1.0
1750,0.004983175080269575,0.002504887757822871,0.001638218411244452,0.0008400689112022519,0.7244698405265808,0.009675268083810806,1.0
2000,0.004432368092238903,0.0022035916335880756,0.0014018097426742315,0.0008269668905995786,0.7934266328811646,0.009432622231543064,1.0
2250,0.003412907477468252,0.001572917797602713,0.0011838984210044146,0.0006560912588611245,0.8502507209777832,0.00926301907747984,1.0
2500,0.0021532000973820686,0.0008520025294274092,0.0008880071109160781,0.00041319039883092046,0.8949075937271118,0.009133739396929741,1.0
2750,0.0036879554390907288,0.0014846912818029523,0.0017038420774042606,0.0004994220798835158,0.9287126064300537,0.00902867317199707,1.0
3000,0.0014611342921853065,0.0006365072331391275,0.0006234822794795036,0.00020114475046284497,0.9521329402923584,0.0089349877089262,1.0
3250,0.001217092853039503,0.0005912549095228314,0.0004592734621837735,0.00016656452498864383,0.9677605628967285,0.008848479948937893,1.0
3500,0.0008822517702355981,0.0003119403263553977,0.0004371677932795137,0.00013314365060068667,0.9780871868133545,0.008763735182583332,1.0
3750,0.0011030909372493625,0.00041993294144049287,0.0005661922041326761,0.00011696589353960007,0.9858908653259277,0.008705344051122665,1.0
4000,0.001867727842181921,0.0007233283249661326,0.0007695009699091315,0.0003748984890989959,0.9902088642120361,0.008657938800752163,1.0
