step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.3186917304992676,0.3186906576156616,0.00021040611318312585,3.5070825106231496e-06,0.4999999701976776,0.019999997690320015,0.005
250,0.2608872056007385,0.2512567639350891,0.007678953930735588,0.001951472950167954,0.5594797730445862,0.022454122081398964,1.0
500,0.24764133989810944,0.2455393373966217,0.0008673527627252042,0.0012346487492322922,0.5360475778579712,0.024443166330456734,1.0
750,0.24424512684345245,0.24291065335273743,0.0004836440784856677,0.0008508217288181186,0.48182225227355957,0.02355858124792576,1.0
1000,0.2408858686685562,0.2398439198732376,0.0003288817824795842,0.0007130609010346234,0.41722485423088074,0.02164035104215145,1.0
1250,0.24283291399478912,0.24050255119800568,0.001353545463643968,0.0009768136078491807,0.34349241852760315,0.01981234736740589,1.0
1500,0.21455566585063934,0.20464244484901428,0.007080615032464266,0.0028326071333140135,0.22860154509544373,0.018828198313713074,1.0
1750,0.1374742090702057,0.1249045804142952,0.007578035816550255,0.0049915979616343975,0.17849688231945038,0.018289892002940178,1.0
2000,0.06320719420909882,0.054736070334911346,0.0029653313104063272,0.005505789071321487,0.17084279656410217,0.01711408421397209,1.0
2250,0.014853352680802345,0.010208298452198505,0.0016650548204779625,0.00297999894246459,0.19026511907577515,0.016396187245845795,1.0
2500,0.005294753238558769,0.004142170771956444,0.0004470516578294337,0.0007055306923575699,0.2133747786283493,0.017011158168315887,1.0
2750,0.004198093898594379,0.0027091014198958874,0.0011966787278652191,0.000292313692625612,0.2396165281534195,0.017515571787953377,1.0
3000,0.003057324094697833,0.002037061844021082,0.0008703317726030946,0.0001499306526966393,0.26591095328330994,0.01786814257502556,1.0
3250,0.0024323510006070137,0.0015275422483682632,0.0008179285796359181,8.688033267389983e-05,0.29325807094573975,0.018133176490664482,1.0
3500,0.0024795690551400185,0.0013012870913371444,0.0011035104980692267,7.477142935385928e-05,0.31979304552078247,0.018349463120102882,1.0
3750,0.0018828517058864236,0.001072137849405408,0.0007657133974134922,4.5000415411777794e-05,0.3455698490142822,0.018517160788178444,1.0
4000,0.001359764952212572,0.0009233218734152615,0.000400462478864938,3.598059629439376e-05,0.3698570132255554,0.018642382696270943,1.0
