step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.6941465735435486,0.5046696066856384,36.78656768798828,1.108820915222168,0.4999999701976776,0.019999997690320015,0.005
250,0.005824822001159191,0.0007534507312811911,0.004827071912586689,0.0002442995028104633,0.5073269605636597,0.0187833234667778,1.0
500,0.0018107229843735695,0.00024799571838229895,0.0015086305793374777,5.40966575499624e-05,0.5185405015945435,0.018568556755781174,1.0
750,0.0016146998386830091,0.00021513598039746284,0.0013452424900606275,5.4321346397046e-05,0.5284321904182434,0.01836611144244671,1.0
1000,0.0016659036045894027,0.00017413798195775598,0.0013965893303975463,9.517627768218517e-05,0.5381821393966675,0.018179554492235184,1.0
1250,0.0011101400014013052,0.00013363632024265826,0.0009225583635270596,5.394529944169335e-05,0.547798216342926,0.01796983927488327,1.0
1500,0.0006809061742387712,0.00011329250264680013,0.0005350597202777863,3.2553951314184815e-05,0.5572917461395264,0.017769241705536842,1.0
1750,0.0005537819233722985,9.129822865361348e-05,0.00043283822014927864,2.964546365546994e-05,0.5668253898620605,0.017543114721775055,1.0
2000,0.0007363345357589424,9.003787999972701e-05,0.0006076887948438525,3.860787546727806e-05,0.576201856136322,0.017322581261396408,1.0
2250,0.0007970734150148928,8.61537191667594e-05,0.0006310275639407337,7.989210280356929e-05,0.5853784084320068,0.017103463411331177,1.0
2500,0.00048087938921526074,7.316138362511992e-05,0.00037531761336140335,3.2400388590758666e-05,0.594598650932312,0.016835186630487442,1.0
2750,0.0007400903850793839,6.996716547291726e-05,0.000620065547991544,5.005767525290139e-05,0.6034295558929443,0.016562126576900482,1.0
3000,0.0005574565730057657,6.738126830896363e-05,0.00044170624460093677,4.836903826799244e-05,0.6120820045471191,0.016268938779830933,1.0
3250,0.0007792781689204276,7.506269321311265e-05,0.0006157622556202114,8.845323463901877e-05,0.6205421686172485,0.015943268314003944,1.0
3500,0.0006350378389470279,6.141557241789997e-05,0.00048415109631605446,8.947115566115826e-05,0.6287280917167664,0.015578425489366055,1.0
3750,0.0008851223392412066,6.994874274823815e-05,0.0007477715844288468,6.740201206412166e-05,0.6368162631988525,0.015177948400378227,1.0
4000,0.0010569726582616568,8.804009121377021e-05,0.0008455549832433462,0.00012337759835645556,0.6444649696350098,0.014771859161555767,1.0
