step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.31495481729507446,0.31495434045791626,9.730816236697137e-05,9.983555173675995e-07,0.4999999701976776,0.019999997690320015,0.005
250,0.09109055995941162,0.0736127495765686,0.016455218195915222,0.0010225899750366807,0.38011282682418823,0.014523308724164963,1.0
500,0.055913057178258896,0.045166343450546265,0.009994142688810825,0.0007525716791860759,0.309929758310318,0.01151433028280735,1.0
750,0.025268791243433952,0.017798088490962982,0.006777465343475342,0.0006932365358807147,0.3526252508163452,0.010223797522485256,1.0
1000,0.014581696130335331,0.009899446740746498,0.0036681354977190495,0.0010141140082851052,0.42698654532432556,0.009523940272629261,1.0
1250,0.010824787430465221,0.006724853068590164,0.0028271577320992947,0.0012727761641144753,0.5066565275192261,0.009323659352958202,1.0
1500,0.007960605435073376,0.004670140333473682,0.0021567887160927057,0.0011336769675835967,0.5876777172088623,0.009104546159505844,1.0
1750,0.006056149490177631,0.003183328080922365,0.001938461558893323,0.0009343597339466214,0.6660050749778748,0.008868232369422913,1.0
2000,0.004131950903683901,0.0020166405010968447,0.0013109808787703514,0.0008043294656090438,0.738383412361145,0.008661544881761074,1.0
2250,0.0048259468749165535,0.0022344947792589664,0.0016246549785137177,0.0009667970007285476,0.8019694089889526,0.008525842800736427,1.0
2500,0.003101356327533722,0.001191069488413632,0.0012545366771519184,0.0006557502783834934,0.8546242117881775,0.008424251340329647,1.0
2750,0.002840619068592787,0.0011841864325106144,0.0013000571634620428,0.00035637535620480776,0.8957644701004028,0.00835456233471632,1.0
3000,0.0016218493692576885,0.0006782965501770377,0.0006850550998933613,0.000258497690083459,0.9276358485221863,0.0082946065813303,1.0
