step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.3209461569786072,0.3209450840950012,0.00021040611318312585,3.5070825106231496e-06,0.4999999701976776,0.019999997690320015,0.005
250,0.26772987842559814,0.25312700867652893,0.01268033217638731,0.001922535477206111,0.5528565645217896,0.02204526960849762,1.0
500,0.2473040372133255,0.2429499477148056,0.0030974114779382944,0.0012566701043397188,0.51953125,0.024396466091275215,1.0
750,0.24467898905277252,0.24252630770206451,0.0012930292868986726,0.0008596461266279221,0.43756768107414246,0.023478571325540543,1.0
1000,0.2395411729812622,0.23794446885585785,0.0009088806109502912,0.000687821360770613,0.3664884865283966,0.021777264773845673,1.0
1250,0.24646489322185516,0.24431966245174408,0.001465068431571126,0.0006801602430641651,0.30455270409584045,0.01986408606171608,1.0
1500,0.2224293202161789,0.2169140726327896,0.0030553610995411873,0.0024598781019449234,0.22348426282405853,0.018602881580591202,1.0
1750,0.15260767936706543,0.1429070085287094,0.005942720454186201,0.003757956437766552,0.14077094197273254,0.016215907409787178,1.0
2000,0.08635202050209045,0.07126214355230331,0.01107469480484724,0.004015184938907623,0.11664434522390366,0.015192284248769283,1.0
2250,0.01876354217529297,0.012770576402544975,0.0027348368894308805,0.0032581293489784002,0.13114310801029205,0.014621227979660034,1.0
2500,0.006419820711016655,0.004607451613992453,0.0009156640735454857,0.000896704790648073,0.15521031618118286,0.015046504326164722,1.0
2750,0.0037003974430263042,0.002892645774409175,0.00044117384823039174,0.0003665778785943985,0.1797863394021988,0.015395262278616428,1.0
3000,0.0027838447131216526,0.002059193328022957,0.0005416416679508984,0.0001830096880439669,0.2043302059173584,0.015653114765882492,1.0
