step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.3967770040035248,0.3965093791484833,0.05215395987033844,0.0013736134860664606,0.4999999701976776,0.019999997690320015,0.005
250,0.011910717934370041,0.007785483729094267,0.002520319540053606,0.0016049151308834553,0.5415303707122803,0.016898581758141518,1.0
500,0.006171092391014099,0.0035735752899199724,0.001700239023193717,0.0008972781361080706,0.657340943813324,0.015495137311518192,1.0
750,0.002313547767698765,0.0010860832408070564,0.000784500443842262,0.00044296414125710726,0.7605168223381042,0.014428047463297844,1.0
1000,0.0014675890561193228,0.000675779883749783,0.0005822298116981983,0.00020957938977517188,0.8452508449554443,0.013491423800587654,1.0
1250,0.0006213901215232909,0.0002292089629918337,0.0002946401364170015,9.754102939041331e-05,0.9064396619796753,0.012666274793446064,1.0
1500,0.00045610108645632863,0.00016458102618344128,0.0002363017702009529,5.521829007193446e-05,0.9467244148254395,0.01202618982642889,1.0
1750,0.00027070107171311975,7.674088556086645e-05,0.00015905067266430706,3.490950621198863e-05,0.9700874090194702,0.011533250100910664,1.0
2000,0.0007896088063716888,0.0002491254999767989,0.0004769956285599619,6.348764873109758e-05,0.9834986329078674,0.011134193278849125,1.0
2250,0.0003430050564929843,9.023129678098485e-05,0.00022203457774594426,3.07391892420128e-05,0.9903014898300171,0.010811756365001202,1.0
2500,0.00021381540864240378,0.00010140936501557007,9.53825147007592e-05,1.7023525288095698e-05,0.9932934641838074,0.01053877454251051,1.0
2750,0.0003045541525352746,0.00013408339873421937,0.00014331634156405926,2.715441951295361e-05,0.9956039190292358,0.010298513807356358,1.0
3000,0.0014599175192415714,0.00044150350731797516,0.000987953506410122,3.046052916033659e-05,0.9968950748443604,0.010094529949128628,1.0
