step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.6947579383850098,0.5052809715270996,36.78656768798828,1.108820915222168,0.4999999701976776,0.019999997690320015,0.005
250,0.0053674327209591866,0.00016996449267026037,0.005014572758227587,0.00018289530999027193,0.4769631624221802,0.018676811829209328,1.0
500,0.0019061662023887038,7.094567990861833e-05,0.0017221365123987198,0.00011308393004583195,0.47629421949386597,0.01845783181488514,1.0
750,0.0014992497162893414,6.738846423104405e-05,0.0013561513042077422,7.570988236693665e-05,0.4766068458557129,0.018271304666996002,1.0
1000,0.0007725009927526116,2.4860444682417437e-05,0.0007163274567574263,3.131310222670436e-05,0.4775506556034088,0.01808018796145916,1.0
1250,0.0010275354143232107,3.816493699559942e-05,0.0009421147406101227,4.7255802201107144e-05,0.478826642036438,0.01789690926671028,1.0
1500,0.0027448672335594893,0.00011976985115325078,0.002506628632545471,0.0001184687134809792,0.48057821393013,0.01768742874264717,1.0
1750,0.000596061407122761,1.3839751773048192e-05,0.0005504447035491467,3.177698090439662e-05,0.4824994206428528,0.017461029812693596,1.0
2000,0.0005562546430155635,1.4760556950932369e-05,0.0005080094560980797,3.3484669984318316e-05,0.48472899198532104,0.017227141186594963,1.0
2250,0.0006974783609621227,1.719497231533751e-05,0.0006335445214062929,4.67388890683651e-05,0.4869686961174011,0.016974488273262978,1.0
2500,0.0009029287029989064,1.643479845370166e-05,0.0008424032130278647,4.409066605148837e-05,0.48942703008651733,0.01671604812145233,1.0
2750,0.00025530735729262233,8.12236794445198e-06,0.00022731961507815868,1.986538336495869e-05,0.49223172664642334,0.01641266793012619,1.0
3000,0.0004829995450563729,1.2349739336059429e-05,0.0004377365403342992,3.2913245377130806e-05,0.49482083320617676,0.016103470697999,1.0
