step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.31696224212646484,0.31696176528930664,9.730816236697137e-05,9.983555173675995e-07,0.4999999701976776,0.019999997690320015,0.005
250,0.08950116485357285,0.07403114438056946,0.014934610575437546,0.0005354068125598133,0.38780879974365234,0.014941089786589146,1.0
500,0.03801344707608223,0.029725484549999237,0.007021771278232336,0.0012661940418183804,0.34848055243492126,0.012796614319086075,1.0
750,0.02090570330619812,0.01451184507459402,0.004694599658250809,0.0016992585733532906,0.40854066610336304,0.011136147193610668,1.0
1000,0.013407212682068348,0.009104322642087936,0.0024400351103395224,0.0018628549296408892,0.4818500280380249,0.010930792428553104,1.0
1250,0.011448955163359642,0.006862292997539043,0.0021997359581291676,0.0023869257420301437,0.5644142031669617,0.010677731595933437,1.0
1500,0.009000378660857677,0.005131236277520657,0.0025340192951261997,0.0013351228553801775,0.6474793553352356,0.010271284729242325,1.0
1750,0.006497425492852926,0.003798025194555521,0.0017635403200984001,0.000935860094614327,0.7257460951805115,0.009899917058646679,1.0
2000,0.0049967216327786446,0.0030366266146302223,0.001317471032962203,0.0006426239851862192,0.7948793172836304,0.009606331586837769,1.0
2250,0.0034216695930808783,0.002004879992455244,0.000939459539949894,0.00047732997336424887,0.8522891998291016,0.009364083409309387,1.0
2500,0.003211541101336479,0.0017202161252498627,0.0011462783440947533,0.0003450466610956937,0.8980700373649597,0.00916478130966425,1.0
2750,0.0031753340736031532,0.0016890401020646095,0.0010828812373802066,0.00040341264684684575,0.9320764541625977,0.009006550535559654,1.0
3000,0.006796274334192276,0.0035688625648617744,0.002392048481851816,0.0008353632292710245,0.9563660025596619,0.008875005878508091,1.0
