step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.32005810737609863,0.3200570344924927,0.00021040611318312585,3.5070825106231496e-06,0.4999999701976776,0.019999997690320015,0.005
250,0.26828569173812866,0.25373730063438416,0.012649818323552608,0.0018985900096595287,0.5542151927947998,0.022187834605574608,1.0
500,0.24997010827064514,0.24715028703212738,0.0016309297643601894,0.0011888963636010885,0.5350852608680725,0.024576816707849503,1.0
750,0.24573206901550293,0.24428138136863708,0.0006232666200958192,0.0008274142746813595,0.49462956190109253,0.024034108966588974,1.0
1000,0.2428349256515503,0.24170073866844177,0.0004410844703670591,0.0006930954987183213,0.4378317594528198,0.022154131904244423,1.0
1250,0.24787630140781403,0.24427174031734467,0.0028981484938412905,0.0007064249366521835,0.36985448002815247,0.020328402519226074,1.0
1500,0.21808657050132751,0.20652973651885986,0.008686743676662445,0.0028700856491923332,0.24524696171283722,0.019221873953938484,1.0
1750,0.14703376591205597,0.1284220963716507,0.013276899233460426,0.00533475773409009,0.18725647032260895,0.018535008653998375,1.0
2000,0.06608791649341583,0.05676821246743202,0.004637485835701227,0.004682214464992285,0.1829811930656433,0.017827779054641724,1.0
2250,0.015407764352858067,0.011973468586802483,0.0008057761006057262,0.0026285191997885704,0.20408201217651367,0.01727866195142269,1.0
2500,0.008149041794240475,0.006710731890052557,0.000765520497225225,0.0006727895233780146,0.22808195650577545,0.017919084057211876,1.0
2750,0.005913113243877888,0.005239322781562805,0.0004010285483673215,0.0002727618848439306,0.253069669008255,0.018367700278759003,1.0
3000,0.005575595423579216,0.0047597140073776245,0.0006729225860908628,0.00014295900473371148,0.27789291739463806,0.018695423379540443,1.0
