step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.38393354415893555,0.38366591930389404,0.05215395987033844,0.0013736134860664606,0.4999999701976776,0.019999997690320015,0.005
250,0.01335570216178894,0.009673898108303547,0.0021251426078379154,0.0015566609799861908,0.5502465963363647,0.01699741743505001,1.0
500,0.00830452423542738,0.006035758648067713,0.0014120880514383316,0.0008566771866753697,0.6686983704566956,0.015715913847088814,1.0
750,0.005588330328464508,0.004412251524627209,0.000741085852496326,0.00043499277671799064,0.771651029586792,0.014625347219407558,1.0
1000,0.0045157927088439465,0.00367873371578753,0.0006578508764505386,0.00017920814570970833,0.854471743106842,0.013683543540537357,1.0
1250,0.004167843610048294,0.003623731667175889,0.0004220447735860944,0.00012206684914417565,0.9139179587364197,0.012936307117342949,1.0
1500,0.0034315718803554773,0.0031247027218341827,0.0002563154848758131,5.055367364548147e-05,0.9526005983352661,0.012350917793810368,1.0
1750,0.0036613037809729576,0.0033008246682584286,0.0002771251602098346,8.335391612490639e-05,0.9752023220062256,0.011869573034346104,1.0
2000,0.0033198948949575424,0.0031308457255363464,0.00015824983711354434,3.07992595480755e-05,0.9875905513763428,0.011458701454102993,1.0
2250,0.0036205255892127752,0.003243210958316922,0.00031217013020068407,6.514428241644055e-05,0.9937324523925781,0.011088995262980461,1.0
2500,0.0036562932655215263,0.003192211501300335,0.00043867737986147404,2.5404304324183613e-05,0.9968687295913696,0.010770756751298904,1.0
2750,0.003289530985057354,0.0030675488524138927,0.0001962686947081238,2.5713427021401003e-05,0.9984087944030762,0.010471256449818611,1.0
3000,0.003575037233531475,0.0032802268397063017,0.0002362366794841364,5.857377254869789e-05,0.9992679953575134,0.010227498598396778,1.0
