step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.6944131851196289,0.5049362182617188,36.78656768798828,1.108820915222168,0.4999999701976776,0.019999997690320015,0.005
250,0.0013768273638561368,0.0010607679141685367,0.0002815596526488662,3.449980431469157e-05,0.5077980160713196,0.01879049465060234,1.0
500,0.0023351814597845078,0.0008180119330063462,0.0014568392653018236,6.033008685335517e-05,0.5213009119033813,0.018569085747003555,1.0
750,0.001464002183638513,0.0007056453032419086,0.0007092103478498757,4.9146474339067936e-05,0.5322538018226624,0.018335862085223198,1.0
1000,0.0011906205909326673,0.0006205772515386343,0.000532959820702672,3.7083536881254986e-05,0.5424800515174866,0.018139783293008804,1.0
1250,0.0017777943285182118,0.0006044732872396708,0.001089125289581716,8.419575169682503e-05,0.5519242286682129,0.0179524477571249,1.0
1500,0.0018473342061042786,0.0005575221148319542,0.0012234635651111603,6.634861347265542e-05,0.5612013936042786,0.017727650701999664,1.0
1750,0.0012208052212372422,0.0005494450451806188,0.0006327158771455288,3.8644313463009894e-05,0.5699851512908936,0.017474159598350525,1.0
2000,0.0008503152057528496,0.0005106795579195023,0.00031165662221610546,2.7979018341284245e-05,0.5789940357208252,0.017166392877697945,1.0
2250,0.001143753994256258,0.0005170375807210803,0.0005722878267988563,5.4428543080575764e-05,0.5868332386016846,0.016905901953577995,1.0
2500,0.0012108171358704567,0.0004859857726842165,0.0006722332327626646,5.2598123147618026e-05,0.5944077968597412,0.01656322181224823,1.0
2750,0.0013574750628322363,0.0004915072931908071,0.0007958170026540756,7.015070877969265e-05,0.6018694639205933,0.016207249835133553,1.0
3000,0.0010465318337082863,0.0004798181471414864,0.0005199604784138501,4.6753215428907424e-05,0.6089121103286743,0.015793731436133385,1.0
