step,loss,data_loss,pde_loss,continuity_loss
1,0.19235551357269287,0.19235551357269287,0.0,0.0
250,6.897663752170047e-06,6.897663752170047e-06,0.0,0.0
500,2.3743120891595026e-06,2.3743120891595026e-06,0.0,0.0
750,1.830319320106355e-06,1.830319320106355e-06,0.0,0.0
1000,7.903039431766956e-07,7.903039431766956e-07,0.0,0.0
1250,5.235632215772057e-06,5.235632215772057e-06,0.0,0.0
1500,2.0180435967631638e-05,2.0180435967631638e-05,0.0,0.0
1750,1.4450231901719235e-05,1.4450231901719235e-05,0.0,0.0
2000,2.8783349534933222e-06,2.8783349534933222e-06,0.0,0.0
2250,2.2555491341336165e-06,2.2555491341336165e-06,0.0,0.0
2500,6.3882325775921345e-06,6.3882325775921345e-06,0.0,0.0
2750,5.700582050849334e-07,5.700582050849334e-07,0.0,0.0
3000,1.053797632266651e-06,1.053797632266651e-06,0.0,0.0
