step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.32109659910202026,0.32109591364860535,0.00013914034934714437,1.062952719621535e-06,0.4999999701976776,0.019999997690320015,0.005
250,0.08758605271577835,0.07445718348026276,0.01234610565006733,0.0007827645167708397,0.3789759874343872,0.016099974513053894,1.0
500,0.032044265419244766,0.022357745096087456,0.008805109187960625,0.0008814112516120076,0.3808097839355469,0.01343533955514431,1.0
750,0.02244287170469761,0.010782353579998016,0.009544329717755318,0.002116188406944275,0.425022691488266,0.012494073249399662,1.0
1000,0.009218101389706135,0.004969057627022266,0.002448673825711012,0.001800369587726891,0.46037864685058594,0.011665938422083855,1.0
1250,0.007626317907124758,0.003912902902811766,0.0021239821799099445,0.0015894329408183694,0.4957224130630493,0.010956590063869953,1.0
1500,0.0051564062014222145,0.002482006326317787,0.001463371329009533,0.001211028778925538,0.533245325088501,0.010374375618994236,1.0
1750,0.0058837588876485825,0.0029272970277816057,0.0016585970297455788,0.0012978649465367198,0.5734655261039734,0.009876116178929806,1.0
2000,0.005382895935326815,0.0026954535860568285,0.0017546326853334904,0.000932809489313513,0.6160699129104614,0.009464063681662083,1.0
2250,0.0042055086232721806,0.001971620600670576,0.0014667627401649952,0.0007671253988519311,0.6595958471298218,0.0091163394972682,1.0
2500,0.0044911326840519905,0.0018108165822923183,0.0015535310376435518,0.0011267848312854767,0.7029104828834534,0.008806785568594933,1.0
2750,0.002334482502192259,0.0009487852221354842,0.000853339908644557,0.0005323572549968958,0.7433930039405823,0.008563317358493805,1.0
3000,0.0018847034079954028,0.000774589367210865,0.0006837894907221198,0.00042632457916624844,0.780232846736908,0.008329739794135094,1.0
