step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.3204866647720337,0.32048556208610535,0.00021496906992979348,3.5176517485524528e-06,0.4999999701976776,0.019999997690320015,0.005
250,0.2627426087856293,0.2536083459854126,0.007644821889698505,0.0014894184423610568,0.583335816860199,0.0226121935993433,1.0
500,0.24897031486034393,0.2458266317844391,0.0018608286045491695,0.0012828578474000096,0.505355179309845,0.022104362025856972,1.0
750,0.24553386867046356,0.2440318763256073,0.0005856287898495793,0.0009163643699139357,0.4828587770462036,0.02107452228665352,1.0
1000,0.24291007220745087,0.2410457283258438,0.001094043138436973,0.000770299811847508,0.4567539095878601,0.019443180412054062,1.0
1250,0.24480141699314117,0.24323441088199615,0.0007246454479172826,0.0008423636900261045,0.41561537981033325,0.017802691087126732,1.0
1500,0.23830175399780273,0.21710693836212158,0.01853564754128456,0.00265916483476758,0.36904653906822205,0.016351768746972084,1.0
1750,0.14863941073417664,0.13476242125034332,0.006328878924250603,0.007548106834292412,0.27558082342147827,0.013920589350163937,1.0
2000,0.045301564037799835,0.03600531816482544,0.0033964146859943867,0.005899832583963871,0.22421124577522278,0.011740446090698242,1.0
2250,0.008113989606499672,0.004745966754853725,0.0016950166318565607,0.0016730062197893858,0.23551523685455322,0.010701114311814308,1.0
2500,0.0036620304454118013,0.0025045527145266533,0.0007068240665830672,0.00045065375161357224,0.27099359035491943,0.010994894430041313,1.0
2750,0.0025925817899405956,0.0018068868666887283,0.0005945219891145825,0.00019117313786409795,0.30419889092445374,0.01122064795345068,1.0
3000,0.001927115023136139,0.0013876284938305616,0.000435715657658875,0.00010377088619861752,0.3359467387199402,0.011367580853402615,1.0
