step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.3964591324329376,0.39629435539245605,0.031326089054346085,0.0016279671108350158,0.4999999701976776,0.019999997690320015,0.005
250,0.006835831329226494,0.004066869616508484,0.0014366903342306614,0.001332271145656705,0.5165374875068665,0.01837526448071003,1.0
500,0.003558395430445671,0.0017434563487768173,0.0008421356906183064,0.0009728035074658692,0.5836270451545715,0.017801066860556602,1.0
750,0.001756821060553193,0.0007554675103165209,0.00033767346758395433,0.0006636800244450569,0.6586900353431702,0.017194479703903198,1.0
1000,0.001286614453420043,0.00046100077452138066,0.0003639262286014855,0.0004616874211933464,0.7362576127052307,0.016624845564365387,1.0
1250,0.0006751379696652293,0.00023701741883996874,0.0002116707619279623,0.00022644981800112873,0.8047931790351868,0.016152173280715942,1.0
1500,0.0008464552811346948,0.0002810209698509425,0.00042505317833274603,0.00014038111839909106,0.8613249063491821,0.0157330259680748,1.0
1750,0.00039381050737574697,0.00012239220086485147,0.00017794749874155968,9.34708077693358e-05,0.9012184739112854,0.015349668450653553,1.0
2000,0.0008697175653651357,0.000336507277097553,0.00046955959987826645,6.365065200952813e-05,0.929706335067749,0.014981197193264961,1.0
2250,0.00021183636272326112,7.683712465222925e-05,9.255094482796267e-05,4.244827869115397e-05,0.9494867920875549,0.01464594341814518,1.0
2500,0.0002929726615548134,0.00012426397006493062,0.00013596215285360813,3.2746538636274636e-05,0.9619690179824829,0.014338762499392033,1.0
2750,0.0003867736377287656,0.00020492187468335032,0.0001539906661491841,2.786108416330535e-05,0.9696052670478821,0.01405787467956543,1.0
3000,9.911404049489647e-05,2.9162718419684097e-05,5.146505282027647e-05,1.8486269254935905e-05,0.9757989048957825,0.01378539390861988,1.0
