step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.3823612332344055,0.382093608379364,0.05215395987033844,0.0013736134860664606,0.4999999701976776,0.019999997690320015,0.005
250,0.010996761731803417,0.006994234398007393,0.002418849617242813,0.0015836780657991767,0.5496134757995605,0.01706504262983799,1.0
500,0.005765859968960285,0.003160925582051277,0.0017682166071608663,0.0008367176633328199,0.6673784852027893,0.015912359580397606,1.0
750,0.002335620578378439,0.0014088507741689682,0.000558922125492245,0.0003678477369248867,0.7698025107383728,0.01479573454707861,1.0
1000,0.0016000386094674468,0.0006970552494749427,0.0007356913993135095,0.0001672919315751642,0.852185070514679,0.013860994018614292,1.0
1250,0.00039148598443716764,0.0001468615373596549,0.00016704747395124286,7.757695857435465e-05,0.9109742641448975,0.01319750864058733,1.0
1500,0.0004405120562296361,0.00014157280384097248,0.0002169831859646365,8.195606642402709e-05,0.9490655660629272,0.01270289532840252,1.0
1750,0.0008713130373507738,0.0004411622358020395,0.0003966338699683547,3.351690247654915e-05,0.971468448638916,0.012304570525884628,1.0
2000,0.002310840180143714,0.0010015740990638733,0.0011619097786024213,0.0001473565207561478,0.9839894771575928,0.01195182092487812,1.0
2250,0.00047414671280421317,0.0001594391360413283,0.00025817001005634665,5.653756306855939e-05,0.9901145100593567,0.011654738336801529,1.0
2500,0.00032379914773628116,8.880120003595948e-05,0.00015862041618674994,7.637753151357174e-05,0.9930671453475952,0.011377346701920033,1.0
2750,0.0003800022532232106,0.0001006107559078373,0.000213886727578938,6.550476246047765e-05,0.9949300289154053,0.01113730389624834,1.0
3000,0.0005151656805537641,0.0002414469636278227,0.00022243641433306038,5.1282288040965796e-05,0.9950439929962158,0.010917773470282555,1.0
