step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.7174118757247925,0.5217702984809875,37.99359130859375,1.1347242593765259,0.4999999701976776,0.019999997690320015,0.005
250,0.001095127547159791,0.00047451345017179847,0.0005605561891570687,6.005800241837278e-05,0.5072750449180603,0.018887275829911232,1.0
500,0.0036103290040045977,0.0003705629496835172,0.003059260779991746,0.00018050521612167358,0.521343469619751,0.018682537600398064,1.0
750,0.0005132117657922208,0.0004125215928070247,5.5703341786284e-05,4.49868239229545e-05,0.5690140724182129,0.017338622361421585,1.0
1000,0.000614556425716728,0.00019329164933878928,0.0004044000816065818,1.6864672943484038e-05,0.6006332635879517,0.017256835475564003,1.0
1250,0.0003237098571844399,0.00011658709263429046,0.00019776102271862328,9.361752745462582e-06,0.6216956377029419,0.01719198375940323,1.0
1500,0.0005481612170115113,9.452835365664214e-05,0.00043809879571199417,1.553406400489621e-05,0.6378011703491211,0.017129862681031227,1.0
1750,0.00037546755629591644,7.38513408578001e-05,0.00028456872678361833,1.7047492292476818e-05,0.6512635946273804,0.017061635851860046,1.0
2000,0.00038669168134219944,8.517841342836618e-05,0.0002846454153768718,1.686784344201442e-05,0.6630843877792358,0.016975291073322296,1.0
2250,0.0005608266219496727,6.25840257271193e-05,0.00045258269528858364,4.565988274407573e-05,0.6736459732055664,0.016871972009539604,1.0
2500,0.0002986685431096703,5.3265390306478366e-05,0.0002253610291518271,2.00421145564178e-05,0.683292031288147,0.016735466197133064,1.0
2750,0.0004807571822311729,5.245916690910235e-05,0.00039564850158058107,3.2649531931383535e-05,0.6922751665115356,0.016563910990953445,1.0
3000,0.0008228655206039548,6.738760566804558e-05,0.0006775454385206103,7.793246186338365e-05,0.7007848024368286,0.016348056495189667,1.0
